search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,property_match_found,property_match_confidence,property_record_source,property_record_address,property_record_owner_hint,property_record_match_score,property_record_evidence
"South Beach, Miami Beach, Florida",2.0,Kenmore Village Hotel,"1050 Washington Ave, Miami Beach, FL 33139, USA",3.8,725,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 725 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: rude | Negative review signal: unhygienic | Negative review signal: disappointing | Complaint rate increase: 1.4 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,1.4,0.0,1.4,,,0.8,True,2,https://maps.google.com/?cid=5038470675610533493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1050 washington ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'kenmore village hotel'
"Mid-Beach, Miami Beach, Florida",2.0,Lexington by Hotel RL Miami Beach,"4299 Collins Ave, Miami Beach, FL 33140, USA",3.4,2593,OPERATIONAL,11,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 2593 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: worst | Negative review signal: refund | Complaint rate increase: 1.0 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,1.0,0.0,1.0,,,0.8,True,2,https://maps.google.com/?cid=14622746125607560830&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4299 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'lexington by hotel rl miami beach'
"Miami International Airport, Florida",3.0,Hilton Miami Airport Blue Lagoon,"5101 Waterford District Dr, Miami, FL 33126, USA",3.9,7085,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 7085 | Negative review signal: smell | Negative review signal: broken | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.2 | Renovation signals in reviews: 200.0%,2,5,0,100.0,2.2,0.0,2.2,1.2,0.0,1.2,,,2.0,True,2,https://maps.google.com/?cid=16753740022523085656&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5101 waterford district dr miami fl 33126 usa,,100,Prototype property match generated from normalized address for 'hilton miami airport blue lagoon'
"Miami International Airport, Florida",3.0,Extended Stay America Premier Suites- Miami - Airport - Miami Springs,"101 Fairway Dr, Miami, FL 33166, USA",3.9,1090,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 1090 | Negative review signal: dirty | Negative review signal: broken | Negative review signal: worst | Negative review signal: refund | Operational distress signal: closed | Operational distress signal: run down | Renovation signals in reviews: 100.0%,0,3,2,50.0,3.33,3.5,-0.17,1.33,1.0,0.33,,,1.0,True,2,https://maps.google.com/?cid=8215652911539425113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,101 fairway dr miami fl 33166 usa,,100,Prototype property match generated from normalized address for 'extended stay america premier suites- miami - airport - miami springs'
"Orlando International Drive, Florida",3.0,SureStay Plus By Best Western Orlando International Drive,"5859 American Way, Orlando, FL 32819, USA",3.6,2105,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 2105 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: unsafe | Negative review signal: refund | Negative review signal: disappointing | Review volume decline: -33.33% | Renovation signals in reviews: 100.0%,2,2,3,-33.33,1.0,1.0,0.0,1.0,2.67,-1.67,,,1.0,True,2,https://maps.google.com/?cid=2708707322529837040&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5859 american way orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'surestay plus by best western orlando international drive'
"Miami Beach, Florida",3.0,Crest Hotel Suites,"1670 James Ave, Miami Beach, FL 33139, USA",3.7,1450,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 1450 | Negative review signal: dirty | Negative review signal: worst | Negative review signal: refund | Operational distress signal: run down | Complaint rate increase: 0.8 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,0.8,0.0,0.8,,,0.8,True,2,https://maps.google.com/?cid=4374670543112714420&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1670 james ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'crest hotel suites'
"Miami Beach, Florida",3.0,James Hotel,"1680 James Ave, Miami Beach, FL 33139, USA",3.6,900,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 900 | Negative review signal: smell | Negative review signal: rude | Negative review signal: refund | Review volume decline: -33.33% | Rating decline: -0.67 | Renovation signals in reviews: 100.0%,4,2,3,-33.33,1.0,1.67,-0.67,1.0,0.67,0.33,,,1.0,True,2,https://maps.google.com/?cid=7730705687648854841&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1680 james ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'james hotel'
"Mid-Beach, Miami Beach, Florida",2.0,Holiday Inn Miami Beach-Oceanfront by IHG,"4333 Collins Ave, Miami Beach, FL 33140, USA",3.8,3557,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 3557 | Negative review signal: rude | Negative review signal: noise | Negative review signal: disappointing | Rating decline: -1.75 | Complaint rate increase: 0.75 | Renovation signals in reviews: 40.0%,4,4,1,300.0,3.25,5.0,-1.75,0.75,0.0,0.75,,,0.4,True,2,https://maps.google.com/?cid=14822438388344559019&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4333 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'holiday inn miami beach-oceanfront by ihg'
"Mid-Beach, Miami Beach, Florida",2.0,Fontainebleau Miami Beach Private Suites,"4391 Collins Ave #715, Miami Beach, FL 33140, USA",3.7,45,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 45 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: refund | Rating decline: -1.0 | Renovation signals in reviews: 40.0%,2,1,1,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,,0.4,True,2,https://maps.google.com/?cid=14331867207125967385&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4391 collins ave 715 miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'fontainebleau miami beach private suites'
"Miami International Airport, Florida",3.0,Miami International Airport Hotel,"Le Jeune Rd, Concourse E 2nd Floor Miami International Airport Hotel, NW 20th St, Miami, FL 33122, USA",4.1,27952,OPERATIONAL,10,Negative review signal: dirty | Negative review signal: smell | Operational distress signal: closed | Operational distress signal: run down | Complaint rate increase: 1.0 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.2,0.0,3.2,1.0,0.0,1.0,,,0.6,True,2,https://maps.google.com/?cid=12243781252096870701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,le jeune rd concourse e 2nd floor miami international airport hotel nw 20th st miami fl 33122 usa,,100,Prototype property match generated from normalized address for 'miami international airport hotel'
"Miami International Airport, Florida",3.0,Ramada by Wyndham Miami Springs/Miami International Airport,"5001 NW 36th St, Miami Springs, FL 33166, USA",3.8,3339,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 3339 | Negative review signal: smell | Negative review signal: worst | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.4,0.0,3.4,1.0,0.0,1.0,,,0.8,True,2,https://maps.google.com/?cid=8313421339966654184&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5001 nw 36th st miami springs fl 33166 usa,,100,Prototype property match generated from normalized address for 'ramada by wyndham miami springs/miami international airport'
"Miami International Airport, Florida",3.0,Days Inn by Wyndham Miami Airport North,"4767 NW 36th St, Miami, FL 33166, USA",2.7,3090,OPERATIONAL,10,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 3090 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: rude | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.8,0.0,2.8,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=18130091764044135894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4767 nw 36th st miami fl 33166 usa,,100,Prototype property match generated from normalized address for 'days inn by wyndham miami airport north'
"West Palm Beach, Florida",4.0,Hotel Evernia,"609 Evernia St, West Palm Beach, FL 33401, USA",3.6,175,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 175 | Negative review signal: cockroach | Negative review signal: refund | Negative review signal: noise | Operational distress signal: closed | Rating decline: -5.0 | Renovation signals in reviews: 60.0%,2,0,1,-100.0,0.0,5.0,-5.0,0.0,1.0,-1.0,,,0.6,True,2,https://maps.google.com/?cid=1445896071957179283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,609 evernia st west palm beach fl 33401 usa,,100,Prototype property match generated from normalized address for 'hotel evernia'
"Key West, Florida",3.0,Casa Marina,"Key West, FL 33040, USA",2.6,24,OPERATIONAL,10,Low rating: 2.6 | Moderate-to-low rating with enough reviews: 24 | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,2.6,0.0,2.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=5048248402275417001&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,key west fl 33040 usa,,100,Prototype property match generated from normalized address for 'casa marina'
"Kissimmee, Florida",3.0,Kapp and Kappy B&B,"21 N Clyde Ave, Kissimmee, FL 34741, USA",4.5,58,OPERATIONAL,10,Negative review signal: smell | Negative review signal: broken | Operational distress signal: run down | Rating decline: -2.67 | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,4,3,1,200.0,2.33,5.0,-2.67,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=7880857910477186563&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,21 n clyde ave kissimmee fl 34741 usa,,100,Prototype property match generated from normalized address for 'kapp and kappy b&b'
"Kissimmee, Florida",3.0,Lambert Inn,"410 W Vine St, Kissimmee, FL 34741, USA",3.1,58,OPERATIONAL,10,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 58 | Negative review signal: filthy | Rating decline: -1.0 | Complaint rate increase: 0.5 | Renovation signals in reviews: 33.0%,4,2,1,100.0,3.0,4.0,-1.0,0.5,0.0,0.5,,,0.33,True,2,https://maps.google.com/?cid=6902416395142631673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,410 w vine st kissimmee fl 34741 usa,,100,Prototype property match generated from normalized address for 'lambert inn'
"Kissimmee, Florida",3.0,Flamingo Inn,"801 E Vine St, Kissimmee, FL 34744, USA",3,213,OPERATIONAL,10,Low rating: 3 | Moderate-to-low rating with enough reviews: 213 | Negative review signal: dirty | Negative review signal: worst | Negative review signal: unsafe | Rating decline: -2.67 | Complaint rate increase: 1.33,4,3,1,200.0,2.33,5.0,-2.67,1.33,0.0,1.33,,,0.0,False,0,https://maps.google.com/?cid=2949369907576545270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,801 e vine st kissimmee fl 34744 usa,,100,Prototype property match generated from normalized address for 'flamingo inn'
"Miami Beach, Florida",3.0,Albion Hotel,"1650 James Ave, Miami Beach, FL 33139, USA",3.9,1607,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 1607 | Negative review signal: smell | Negative review signal: noise | Rating decline: -1.25 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,3.75,5.0,-1.25,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=5095127357214573669&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1650 james ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'albion hotel'
"Miami Beach, Florida",3.0,Hyatt Centric South Beach Miami,"1600 Collins Ave, Miami Beach, FL 33139, USA",4,1049,OPERATIONAL,9,Negative review signal: dirty | Operational distress signal: understaffed | Operational distress signal: declining | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.0,0.0,4.0,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=11288972354984257119&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1600 collins ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'hyatt centric south beach miami'
"Mid-Beach, Miami Beach, Florida",2.0,Radisson Resort Miami Beach,"4343 Collins Ave, Miami Beach, FL 33140, USA",3.7,2394,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 2394 | Negative review signal: rude | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,2.6,0.0,2.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=7823534885686218488&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4343 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'radisson resort miami beach'
"Mid-Beach, Miami Beach, Florida",2.0,Roami at The Carmela,"4025 Indian Creek Dr, Miami Beach, FL 33140, USA",1.3,4,OPERATIONAL,9,Low rating: 1.3 | Negative review signal: smell | Negative review signal: worst | Negative review signal: refund | Complaint rate increase: 1.0 | Renovation signals in reviews: 75.0%,2,4,0,100.0,1.25,0.0,1.25,1.0,0.0,1.0,,,0.75,True,2,https://maps.google.com/?cid=2943937046677957941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4025 indian creek dr miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'roami at the carmela'
"Downtown Miami, Florida",3.0,Eurostars Langford,"121 SE 1st St, Miami, FL 33131, USA",4.1,1672,OPERATIONAL,9,Negative review signal: filthy | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned | Rating decline: -1.5 | Complaint rate increase: 1.0,4,4,1,300.0,3.5,5.0,-1.5,1.0,0.0,1.0,,,0.2,False,0,https://maps.google.com/?cid=11219080890172645630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,121 se 1st st miami fl 33131 usa,,100,Prototype property match generated from normalized address for 'eurostars langford'
"Downtown Miami, Florida",3.0,Leamington Hotel,"307 NE 1st St, Miami, FL 33132, USA",2.3,1078,OPERATIONAL,9,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 1078 | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down | Renovation signals in reviews: 200.0%,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,True,2,https://maps.google.com/?cid=18001152706082396593&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,307 ne 1st st miami fl 33132 usa,,100,Prototype property match generated from normalized address for 'leamington hotel'
"Fort Lauderdale, Florida",4.0,Element by Marriott Fort Lauderdale Downtown,"299 N Federal Hwy, Fort Lauderdale, FL 33301, USA",4.3,418,OPERATIONAL,9,Negative review signal: broken | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.0,0.0,3.0,1.0,0.0,1.0,,,0.6,True,2,https://maps.google.com/?cid=16673985674074620265&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,299 n federal hwy fort lauderdale fl 33301 usa,,100,Prototype property match generated from normalized address for 'element by marriott fort lauderdale downtown'
